Question,Answer
"Hey, Nick, just on the – you know you guys made a great progress on the equalizer chart as far as improving the overall earned ROEs. How much more room if you thought about 2016, given the rate cases you see coming, where do you see the 2016 ROE headed and how much more improvement you need in ROE to be able to hit the 4% to 6% growth rate?","Yeah, I think it's going to continue to improve, Dan. We're probably on the order of 9.6% to 10% in that range for 2016, so it'll continue to improve overall. And then with Kentucky coming up, that's helpful, although Kentucky's pretty small in the overall comparison, but the others are doing quite well."
"Okay. And I guess preemptive on the Ohio generation side, but given the weakness of the power stocks and the IPP sector, is there a market of buyers still sitting out there who'd be willing to transact on your assets right now or are market conditions potentially going to slow down maybe the urgency of making a decision on those assets?","Yeah, I think there's still a set of buyers out there, it's just – it certainly goes to the question whether a spin option is, while it's still on the table, it's more diﬃcult because you have the paper involved with those companies, but for sale, there's still parties out there, and some of the recent transactions have shown that."
"I guess maybe just one last question. When you guys look at the load trends going on right now, how is the residential versus commercial trends having bearing on what you guys expect to see for load growth next year?","Yeah, so commercial continues to improve. As a matter of fact, that's probably the bright spot of the portfolio, and you have these cycles that change as we go along, and the residential, that's gone up and down the last few quarters and it really does drive this view that we need the   American Electric Power Co Inc (AEP US Equity)   economy to really start picking back up, particularly from the energy policy perspective. If we start exporting or if we continue a build-out of the economy that's focused on energy, then our economy will pick up as well. So we're getting some beneﬁts from auto manufacturing and that kind of thing, but primary metals on the world market, mining, those kinds of activities are certainly having an impact. So yeah, we've been in sort of a strange period for several quarters, and actually, years now, and we obviously need to get the economy moving again from an energy perspective."
"Okay, great, because you earned $3.43 in 2014, and this year, at the new midpoint, you're going to earn $3.73. Even if I weather normalize that, that's $3.65. So notwithstanding the deceleration in load growth trends that you're experiencing, one would presume you're doing very well relative to that aspiration, so I have to ask, does that aspiration build in the expectation that there'll be some dilution from the sale of the generation assets, which gets oﬀset over time as you redeploy that capital into the transmission business?   American Electric Power Co Inc (AEP US Equity)","Go ahead.     Go ahead. Go ahead, Brian. I'll follow.     No, Greg, that assumes the business as usual case, that we continue to own the properties that we do today with the exception of river operations. And we'll do for you at EEI like we do the normal waterfall stair-step between 2015 and what we anticipate 2016 to be. In addition to weather, which if you look across all our businesses, is probably closer to $0.12, we've had things like inception gains, the generation and marketing, they're about $0.06. We've had the beneﬁt from the sale of some plants and reducing ARO obligations. That's another $0.06. So you can pretty easily do a stair-step that would take oﬀ that – of that $3.72 about $0.24 for things that we don't anticipate to be recurring parts of our business."
Okay. That was really – that was the gist of my question. I appreciate that.,"Yeah. Greg, I think you have to sort of look at it like in the previous quarters, we've been talking about working to try to get to a solution for 2016, and now we've moved to conﬁdent about 2016."
The second question is with regard to the timeline for getting an answer from Ohio on whether or not you'll be able to contract a portion of that ﬂeet and whether that is a gating factor for concluding an asset sale or whether there's a deadline at which you would move on an asset sale and not wait around for – sort of in an open-ended process.,"American Electric Power Co Inc (AEP US Equity)   Yeah. So it won't negate the discussion. I think really what matters here is, is we get through the process with Ohio by the end of the year, we have a result that says these particular units are going to be covered by a long-term PPA, then that says that we're sort of ambivalent, whether, assuming the PPA addresses our concerns as certainly being long term, we have lots of plan out there. And as well, some of the other provisions to ensure that we're able to make it quasi- regulated then we're somewhat ambivalent as to whether we hold those units or not. And I think it certainly bodes well for our ability to hold onto those units and still be a regulated utility. For the remaining assets that aren't covered by the PPA, there's still a process ongoing. And so we'll go through this.  And as I said earlier, our board has been and for the last two years as you know, we've been going through this with our board and the PPA because originally we thought it may be later for a decision. No-one knew because we didn't have the schedule. We're concerned by that and we weren't going to wait for and now there's a schedule in place, there's hearings that have occurred and we'll conclude here pretty soon. We'll have a result pretty soon and the PPA is very, very important to our standing in Ohio overall and whether we keep that portion of the generation or not, but it doesn't change the objectivity and the measured approach that we're using to go through this process to ensure that we're making the right decisions for our shareholders. And so because we get a PPA doesn't mean certainly that the process is oﬀ for any of those, the remaining generation that's not covered by that type of PPA. So we're looking at this very straightforward and we've been very consistent in our discussions.  I know last quarter, previous quarter, we were saying that we were, after the capacity auctions, the capacity performance supplemental auctions, that we would know and understand a lot more. We do. We were assuming that it was a never-ending approach associated with getting a PPA resolved and it appears that the Ohio Commission has taken this on seriously and are moving forward with determining what the solution would be. And so we're going to go through that process, fully understand it, and by ﬁrst quarter next year, our board will certainly know all the ins and outs of the issues that we're dealing with and then we'll move forward."
Hey. Good morning. I didn't know you guys were such Back to the Future fans.,"We all remember that. Some of us do anyway. I'm probably talking to some people that don't even remember it, so."
"If you wanted to wear a Star Trek outﬁt at EEI, Nick, I'm okay with it.","Well you know, I happened to think about that when I was talking about the BOLD line, boldly going where no man has gone before."
"Greg asked most of my questions, but just quickly, when do you think on the PPA process, if we don't reach a settlement or whatever, if we end up going a fully litigated track, when do you guys expect that to be ﬁnished?","So if it's fully litigated, we still expect to get an order by the end of the year and that's – now, fully litigated means obviously there'll still be I am sure, there'll be appeals and all that kind of stuﬀ, but we're actually focusing on the Commission order itself because that really tells us where the policy making decision in this state is moving toward. We certainly believe that'll occur before the end of the year."
"American Electric Power Co Inc (AEP US Equity)   Do you think such a big issue like this for Ohio with getting a PPA or entering into PPAs, do you think the appeals process would be lessened if you do get a fully-litigated order. I mean are the parties better oﬀ getting a litigated order just so that the appeals process is maybe less shorter or the record is stronger versus a settlement?","Yeah, certainly I think it depends on what the order looks like, but certainly – I mean the Commission certainly has taken a deliberative approach to this and we have certainly done a lot of analysis along with FE and others who participate in hearings about can a PPA be used, we feel really good about where we stand from a legal perspective going forward. I think the real issue is the Commission needs to come out with an order that comports with the discussions that occurred relative to the PPA so if there's deviation from that in some fashion, maybe could be opening yourself up to more substantial appeals, but we've given the recipe. The recipe is there, and certainly, it drives a positive solution for the customers, for Ohio and the Commission certainly has the track-record to be able to put that kind of thing in place that holds up."
"Hey. So my key question was around the generation business. And as we look at it from an EBITDA perspective year-to-date for the generation business, you've already achieved about $725 million of EBITDA relative to guidance midpoint of about $590 million for 2015. So just wanted to understand more long term like is this more speciﬁc things that have happened in 2015 that are driving 2015 EBITDA to be higher? But longer term, your guidance stays consistent?   American Electric Power Co Inc (AEP US Equity)","Praful, a couple of things going on there. One is for the ﬁrst half of the year, we still had some considerable capacity revenues coming from Ohio. That dropped oﬀ in May and we'll be experiencing that negative impact through the balance of the year. So that's something that on an annualized basis, you need to factor that out of the business going forward. We also had two other pieces that contributed to the gen & marketing results this year that we don't think you can consider as regular ongoing items. One is we've had inception gains of about $0.06 per share. And the other is we've had reductions in liabilities that in a positive way ﬂow through O&M associated with the sales of two plants, one is Muskingum River and the other is a coal impalement (40:14) that we were able to sell. The combination of those two items is another $0.06. So there are some things that you need to factor out if you're going to annualize that business on a go forward-looking basis."
"I've got you. That's very helpful. And then ﬁnally, just a key question on Ohio. I heard your points around the ESP and the PPA. I guess I'm just trying to understand from a long-term perspective, I get the message that if it's long term, it's a diﬀerent answer or you're at least indiﬀerent between sale versus keeping it. What deﬁnes long term? Is it – is seven years long term enough? If you don't get the full 15, at what point do you say I actually do have a diﬀerence between keeping the business versus selling it?","Well certainly I don't want to get into that too much because – but long-term, to us I mean we have ﬁled for loss of plant. And I'll just say this, the term has to be substantial because we have to have a feeling that we can invest. And with the large capital investments that we make in generation, we need to know that we can do that and be secure from a future perspective. So when I look at our FERC wholesale contracts, we've had contracts that are 10 years, 15 years, we've had same customers for 75 years so when we talk about long-term it has to be substantial enough for us to make that kind of investment and so I'm not going to say an actual number at this point because we have lots of plants sitting out there and that's what we believe what it takes. We'll wait and see what it winds up being, but I can tell you this, it's three years, which is the length of the capacity deal in PJM, that was a three-year capacity market, that's not long enough. And that's a problem within PJM and the state has an opportunity to ﬁx that."
