Question,Answer
"Hey. Good morning, guys.",Good morning.
"If I jump to the back of the slides, you have updated CapEx numbers and the CapEx increased quite a bit from what you had at EEI. I know part of that's probably Union slippage. But can you just help us think about the rate base growth and the eﬀect of bonus depreciation on the rate base growth net of the increase in CapEx?","Yeah, Dan. This is Drew. And so we previously discussed that for the ﬁrst couple years we already had an expectation for bonus deprecation baked into our ﬁnancials. And so getting out to 2018 there's really not much impact on our overall rate base expectation. In fact, it still remains right in the middle of our previous ranges that we provided. So really quite minimal impact on us overall through the guidance range – or through the outlook range."
And then what was the rest of the increase beyond Union to ﬁll in the 2016 to 2018 CapEx?,I think it was mostly just minor project adjustments. I don't think that there's any major elements in there that would be worth calling out at this point I don't think.
And I guess on load growth and kind of the expectations for that number to bounce back after – maybe a little slower for 2016 than expected. Where do you rank your conﬁdence in that reset in growth today versus say six months ago or at the last Analyst Day? And what is the visibility to that underlying industrial gain?,"Hey, Dan. This is Theo. I think from our perspective we'd rank that conﬁdence higher, a little higher than we had say a few years ago at the Analyst Meeting because primarily a lot of the projects have advanced relative to that point in time. And also we've gotten a better line of sight on what's really happening from an economic perspective as relates to what you're seeing with commodity markets.  As we talked about at EEI, as you look 2015 through 2018, basically 95% of that growth of what we call new and expansion projects were related to projects that were in advanced stages, and we continue to see that to be the case. That's not to say that we see some projects, smaller projects maybe fall oﬀ as we've gone forward. And if you also recall at EEI that 95%, about 70% was made up of basically a handful     of large projects that were in advanced stages. And those projects were primarily in the steel kind of thing, cracker. We did have an LNG project. We also have projects in the ammonia area as well as methanol. So they were spread across a lot of your various segments.  As we continue to get closer, and as we move closer in time to the expected construction, date-of-completion dates of these projects, clearly we get more visibility around where those projects are just by the sheer passage of time. I think the other thing that we have gotten more visibility around is what's going on with our existing customers, and gotten more granularity as to what's happening in that particular area. We don't really see much growth when we talk about the 4% to 5% coming from our existing customer base, but as we've talked about in the past, our existing customers, our large industrial customers are on ﬁxed-demand-charge type contracts. And so we may see volumetric ﬂuctuations, we really don't see accompanying ﬂuctuations in revenue when you talk about downside situation.  So I think our conﬁdence is higher. I mean, clearly as Drew said in his script, there are still existential factors that can aﬀect what we're seeing, and we monitor this on a very regular basis. And we try to get as much intelligence around this as we possibly can, both from a customer perspective as well as a macroeconomic perspective."
So you're not seeing an erosion in these existing customers because of an economic slowdown kind of on a global basis? So you're not expecting them to do worse? You'd expect them to stay where they are? Is that eﬀectively what's embedded in guidance?,"I mean I would expect that – there's always a risk they could do worse, but we have adjusted our expectation around that group based on what we see and what we know today. And we did adjust it downward as compared to where we were a number of months ago.    And, Dan, this is Drew. And of course you've seen in the last couple of quarters, we've seen lower growth in the industrial sector. But the new and expanding customers have been growing the industrial space about 3% and existing customers have been detracting from it about 2.5%. So we are expecting a little bit of that same thing in 2016."
"Okay. Got it. Thank you, guys.",Thank you.      Operator   Thank you. The next question is from Julien Dumoulin-Smith of UBS. Your line is now open.
Hi. Good morning.,"Good morning, Julien.    Good morning."
"So just to follow up a little bit on Dan's last question, if you will, can you comment on sort of the non-industrial trends? I suppose just if you try to look at the mix, 60/40, I suppose it would imply something shifting there as well, but I'll let you elaborate.","Julien, are you relating to just the 2016 period or the same period Dan was referring to?"
"Well actually, let's stick with 2016.","Okay. I think when we think about growth in kind of the non-industrial sector for 2016, ﬁrst I'd start by saying, if you look at the quarterly GSP across the Gulf South region, we see numbers probably anywhere from 2.5% to 4% in the 2016, 2017 timeframe. Also I think if you look at what we've experienced even in 2015 for the companies within that region, we have residential sales growth ranging from 1.5% to about 3.5% on a weather adjusted basis. We had commercial sales growth basically in the 1% to 2% on a weather-adjusted basis in that area.  And so as we look forward we see, for example on the commercial side, major projects that happened in 2015 that have a full year eﬀect in 2016 that contribute to what we view as fairly reasonable sales growth expectation on the commercial side. In the residential area, we do – are seeing pockets of what we call, maybe the multiplier eﬀect related to the industrial growth that we see again in that Gulf South, that Gulf Coast regional area.     And I'd also say that one thing that we can advantage of in 2016 is another day of kilowatt-hour sales. That has some small impact on our expectation in 2016 as well. So around 1% which is where we are when you adjust – when you take out the total growth and impact of industrial. Again, the macroeconomic eﬀects we see or impacts we could see at the industrial level we could see at the residential and commercial. But we've as I've said in response to Dan's questions, we've done a lot of work around updating our expectations relative to that and at this point we feel fairly comfortable with where we are."
"Just to be clear then, you're saying not much of a change on the non-industrial?","I would say, you mean 2015 over 2016 in terms of not much of a change or where we were thinking?"
