Question,Answer
"Hey, good morning, guys.","Good morning, Shar."
"First, congrats obviously, to Jim and Steve, and I guess this means, Mr.Ridges Park City skiing days are over with, but congrats to both you guys.","Thank you, Shar."
"Dominion Energy Inc (D US Equity)   Bob, if you could maybe elaborate a little bit on your prepared remarks as you're looking at sort of a range of scenarios. I think, many would assume you start with looking at a monetization of the contracted of assets. But in our view, to really know why you're trading at a discount or why the stocks underperformed, some would argue the performance may be driven by local politics. I guess, could we see more drastic actions like divestitures, where you would only focus on Virginia? Or even a sale of the company to really maximize shareholder value? I guess, what is all this is going to -- what is this going to look like in the end? And it seems like an update in February is a very tight time frame. So I guess, are you really progressed in this process? Thanks.","Yes. Thanks, Shar. And let me take the last part of that ﬁrst. This is not about corporate M&A, if that's what you're asking about. This is about a business review. A top-to-bottom business review, as we made clear in our prepared remarks, looking at strategies that maximize value business mix capital allocation all those kinds of things, and we're going to make decisions as we would any strategic decision we made with respect to the company and what's in the best interest of our shareholders, of our employees and of our customers.  Fundamentally, we took a look at how we're doing, how our share price is doing. And the market is telling us that we're not performing the way investors expect, and so we think it merits a complete review from top-to-bottom. We're early in the process and we're going to obviously in addition to shareholder value and our share price performance, we've thinking about the macroeconomic environment we're in and making sure that we can deliver on our growth program to the level that we expect. So we laid out played out in opening remarks and I'll just reiterate as -- we're guided by our commitment to our state-regulated utility proﬁle, to our credit proﬁle and our current dividend and to transparency and ensuring shareholder value.  So as we thought about it, we could keep on the same course. As we said, we have a path to 2023. Some would suggest that doing the same thing over and over and expecting a diﬀerent result, doesn't make a lot of sense. Or we could have just announced something, but we thought it made a lot more sense to announce that we're doing this review, get some shareholder input and ﬁgure out what's right for our shareholders, our employees, and our customers going forward in the long run."
"Got it. And then just lastly, Bob. Just on the 6.5% growth rate you have out there, obviously, you're implying on Slide 13 and your prepared remarks that you could change the target pending the review. Obviously the share price reaction this morning is implying a cut in the growth rate. But it -- but could a scenario actually be accretive or even supportive of the target you have out there? Especially if we assume the trend with privates and ﬁnancial players paying relatively healthy multiples for assets with proceeds you can redeploy organically at 1x rate base. I mean, does the deal need to be dilutive to growth? Are you concerned about the numbers?","Yes. We're obviously closer to the beginning of this process than the end. So we're going to have to work our way through, and see what the ultimate outcome is before I can comment on   Dominion Energy Inc (D US Equity)   that, Shar. And I understand your interest in getting more clarity in that today, but until we've done the process, that question is impossible for us to answer. Again I would go back to the fact that we're very focused on earnings quality and earnings predictability, that's what our shareholders are telling us they want, that's we're going to focus on as we're going through this review."
"Okay. Terriﬁc. Thank you, guys. I'll jump back in the queue. Appreciate it.  Operator  And our next question comes from Ross Fowler from UBS. Your line is open.",
"Morning, Bob. Morning, Jim.",Good morning.
"Maybe, shifting to oﬀshore wind, I'm sure, there's going to be a lot of other questions on the strategic review. But just touching on the oﬀshore wind for a minute as we look at Slide 6 and in sort of Slide 8 in the deck. I think the settlement done obviously is could be approved, what is -- in sort of shifts investors thoughts of risk from sort of that performance guarantee or a capacity factor, now there's a shift to cost. So maybe you can frame the risk to cost from here given the cost sharing arrangement.  And then the second sort of part of the question is, you say 75% ﬁxed as of today. And then working to that 90% in the ﬁrst quarter of next year? Can you kind of just give us some framework? What is ﬁxed tag should we imply or mean? Has that walked and settled, can that move at all? What we have there ex the contingency?","Yes. Let me start with the ﬁrst part of your question. And as we said on the last call, the performance guarantee put a level of risk that our investors, we knew, would not ﬁnd satisfactory, didn't make any sense any sense. We've been focused on the cost of constructing this project from the very moment we can conceived that, that's what we do. We built Cove Point on time and on budget and we absolutely expect we're going to build this project on time and on budget the same way. And we're very advanced in the development here, and as you noted and as we said in our opening remarks, 75% of cost ﬁxed expecting 90% by early in 2023.   Dominion Energy Inc (D US Equity)   So we're very much on target, we're very comfortable with the estimates, the amount of contingency has actually increased since the time we ﬁled, which gives us even more conﬁdence. As we said in our opening remarks, we're working very well with the regulators, working our way through the environmental permitting process. So project is very much on track. We have a high degree of conﬁdence in our ability to build it on time and on budget. And I'm going to ask Diane to walk through a little bit more detail on that.     Okay. Thanks. Good morning, everybody. So let me just give a little bit more color to the diﬀerent aspects of the project. Kind of as you walk through, the ﬁrst thing would be permitting. And as Bob just said, we're working through the process of the draft environmental impact statement. It is on time to come out by the end of this year. And we're working closely with the regulators with DOM and with NOA in addressing issues as they come up to minimize any risk of schedule issues.  And then, I'd want to remind you, we're really focused on de-risking the schedule from the start by having two piling seasons, two construction seasons to put those monopiles down. So we don't even install the turbines until the second season. So that allows for de-risking in the construction, and we look at that as we move forward with the project. The next are our vendors and our suppliers, and we picked the worldwide experts in the oﬀshore wind industry to ensure that, we weren't adding any risk in our contracting. And of course, they were ﬁxed price contracts, and as we move through the pieces that were variable in the oﬀshore, were commodities and fuel. And that's where you see 75% ﬁxed as of now.  So as we're looking to continue to move towards fabrication, we have all the manufacturing slots nailed down, much of the steel plate has been ordered and deliveries have actually already started. In fact, fabrication for our oﬀshore substations and our cables have already begun. So that's, as you're seeing, the 75% moved to the 90%, that's what's going on. The mills are operational, our vendors are not concerned with them shutting down due to fuel issues in Europe, anything like that. And as Bob said, as we looked at the entire projects throughout this time, we've been able to preserve and even add to our contingency. So we're feeling very good about where we are.  On the -- so I think I've really answered that additional question of ramping from 75% to 90%, it's really as we're getting those deliveries and locking in the remaining part of the metals and the fuel, and the ﬁnal piece of moving from that 75% to 90% is on the onshore side, on that onshore transmission unlocking in those contracts."
"Great. Thank you for that. And then, Bob, maybe one for you on the strategic review just following up to Shar's question on the growth rate. I am trying to just I guess sort of understand what you're trying to communicate there with a little more clarity. 6.5% was where you were, what you're set for '23, right, in the long-term growth rate. And you see a path to that today absent the strategic review. And I don't want to put words in your mouth here, but I think what I heard you say was, the results of the strategic review could lead to diﬀerent outcomes in 2023. And then you have to think about, what the long-term growth will look like after that? But your rate base growth at the regulated utilities is about 9%, which is higher than 6.5%. And so if that's   Dominion Energy Inc (D US Equity)   your focus, I think that's a good thing. And I don't think you're saying here today that you're going to do things in the strategic review that are dilutive to value.","Yes. I think what we're saying it. Again, I know you're looking for certainty here, but it's early days, and we're just getting started. So what we are focused on, you've correctly identiﬁed, is regulated high-quality earnings, predictable earnings going forward. How the numbers all settle out at the end of it, we'll report when that time comes. So that's why we're saying today, we have a path and a status quo scenario. But the outcome of the review could lead to diﬀerent growth qualitatively and quantitatively."
"Okay, thank you. I'll jump back in the queue.  Operator  And our next question comes from Steve Fleishman from Wolfe Research. Your line is open.",
Yes.,"Hey, Steve, good morning."
